Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Subcellular location [CC]	Transmembrane
O95831	reviewed	AIFM1_HUMAN	Apoptosis-inducing factor 1, mitochondrial (EC 1.6.99.-) (Programmed cell death protein 8)	AIFM1 AIF PDCD8	Homo sapiens (Human)	613	TISSUE SPECIFICITY: Expressed in all tested tissues (PubMed:16644725). Detected in muscle and skin fibroblasts (at protein level) (PubMed:23217327). Expressed in osteoblasts (at protein level) (PubMed:28842795). {ECO:0000269|PubMed:16644725, ECO:0000269|PubMed:23217327, ECO:0000269|PubMed:28842795}.; TISSUE SPECIFICITY: [Isoform 3]: Brain specific. {ECO:0000269|PubMed:20111043}.; TISSUE SPECIFICITY: [Isoform 4]: Expressed in all tested tissues except brain. {ECO:0000269|PubMed:16644725}.; TISSUE SPECIFICITY: [Isoform 5]: Isoform 5 is frequently down-regulated in human cancers. {ECO:0000269|PubMed:16365034}.	1M6I;4BUR;4BV6;4FDC;4LII;5FMH;5FS6;5FS7;5FS8;5FS9;5KVH;5KVI;8D3E;8D3G;8D3H;8D3I;8D3J;8D3K;8D3N;8D3O;	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:24914854, ECO:0000269|PubMed:26004228}. Mitochondrion inner membrane. Cytoplasm {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:33168626}. Nucleus {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:17094969, ECO:0000269|PubMed:33168626}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17094969}. Note=Proteolytic cleavage during or just after translocation into the mitochondrial intermembrane space (IMS) results in the formation of an inner-membrane-anchored mature form (AIFmit). During apoptosis, further proteolytic processing leads to a mature form, which is confined to the mitochondrial IMS in a soluble form (AIFsol). AIFsol is released to the cytoplasm in response to specific death signals, and translocated to the nucleus, where it induces nuclear apoptosis (PubMed:15775970). Release into the cytoplasm is mediated upon binding to poly-ADP-ribose chains (By similarity). Translocation into the nucleus is promoted by interaction with (auto-poly-ADP-ribosylated) processed form of PARP1 (PubMed:33168626). Colocalizes with EIF3G in the nucleus and perinuclear region (PubMed:17094969). {ECO:0000250|UniProtKB:Q9Z0X1, ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:17094969, ECO:0000269|PubMed:33168626}.; SUBCELLULAR LOCATION: [Isoform 3]: Mitochondrion intermembrane space {ECO:0000269|PubMed:20111043}. Mitochondrion inner membrane {ECO:0000269|PubMed:20111043}. Note=Has a stronger membrane anchorage than isoform 1. {ECO:0000269|PubMed:20111043}.; SUBCELLULAR LOCATION: [Isoform 4]: Mitochondrion {ECO:0000269|PubMed:16644725}. Cytoplasm, cytosol {ECO:0000269|PubMed:16644725}. Note=In pro-apoptotic conditions, is released from mitochondria to cytosol in a calpain/cathepsin-dependent manner. {ECO:0000269|PubMed:16644725}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000269|PubMed:16365034}.	
P01040	reviewed	CYTA_HUMAN	Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]	CSTA STF1 STFA	Homo sapiens (Human)	98	TISSUE SPECIFICITY: Expressed in the skin throughout the epidermis. {ECO:0000269|PubMed:21944047}.	1CYU;1CYV;1DVC;1DVD;1GD3;1GD4;1N9J;1NB3;1NB5;3K9M;3KFQ;3KSE;8GT0;8GT7;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21944047}.	
P01906	reviewed	DQA2_HUMAN	HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)	HLA-DQA2 HLA-DXA	Homo sapiens (Human)	255	TISSUE SPECIFICITY: Restricted to skin Langerhans cells, although some expression at low levels may occur at the surface of B lymphoblastoid cells. {ECO:0000269|PubMed:22407913, ECO:0000269|PubMed:9036956}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Endosome membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Lysosome membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.	TRANSMEM 218..240; /note="Helical"; /evidence="ECO:0000255"
P02649	reviewed	APOE_HUMAN	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317	TISSUE SPECIFICITY: Produced by several tissues and cell types and mainly found associated with lipid particles in the plasma, the interstitial fluid and lymph (PubMed:25173806). Mainly synthesized by liver hepatocytes (PubMed:25173806). Significant quantities are also produced in brain, mainly by astrocytes and glial cells in the cerebral cortex, but also by neurons in frontal cortex and hippocampus (PubMed:10027417, PubMed:3115992). It is also expressed by cells of the peripheral nervous system (PubMed:10027417, PubMed:25173806). Also expressed by adrenal gland, testis, ovary, skin, kidney, spleen and adipose tissue and macrophages in various tissues (PubMed:25173806). {ECO:0000269|PubMed:10027417, ECO:0000269|PubMed:3115992, ECO:0000303|PubMed:25173806}.	1B68;1BZ4;1EA8;1GS9;1H7I;1LE2;1LE4;1LPE;1NFN;1NFO;1OEF;1OEG;1OR2;1OR3;2KC3;2KNY;2L7B;6IWB;6NCN;6NCO;7FCR;7FCS;7UVJ;8AX8;8AX9;8CDY;8CE0;8GRX;	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2498325, ECO:0000269|PubMed:30333625}. Secreted, extracellular space {ECO:0000269|PubMed:8340399}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:9488694}. Extracellular vesicle {ECO:0000269|PubMed:26387950}. Endosome, multivesicular body {ECO:0000269|PubMed:26387950}. Note=In the plasma, APOE is associated with chylomicrons, chylomicrons remnants, VLDL, LDL and HDL lipoproteins (PubMed:1911868, PubMed:8340399). Lipid poor oligomeric APOE is associated with the extracellular matrix in a calcium- and heparan-sulfate proteoglycans-dependent manner (PubMed:9488694). Lipidation induces the release from the extracellular matrix (PubMed:9488694). Colocalizes with CD63 and PMEL at exosomes and in intraluminal vesicles within multivesicular endosomes. {ECO:0000269|PubMed:1911868, ECO:0000269|PubMed:26387950, ECO:0000269|PubMed:8340399, ECO:0000269|PubMed:9488694}.	
P02760	reviewed	AMBP_HUMAN	Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]	AMBP HCP ITIL	Homo sapiens (Human)	352	TISSUE SPECIFICITY: [Alpha-1-microglobulin]: Expressed by the liver and secreted in plasma. Occurs in many physiological fluids including plasma, urine, and cerebrospinal fluid (PubMed:11877257). Expressed in epidermal keratinocytes, in dermis and epidermal-dermal junction (at protein level) (PubMed:22096585). Expressed in red blood cells (at protein level) (PubMed:32092412). Expressed in placenta (PubMed:21356557). {ECO:0000269|PubMed:11877257, ECO:0000269|PubMed:21356557, ECO:0000269|PubMed:22096585, ECO:0000269|PubMed:32092412}.; TISSUE SPECIFICITY: [Inter-alpha-trypsin inhibitor light chain]: Detected in placenta (at protein level) (PubMed:32337544). Detected in cerebrospinal fluid, plasma and urine (at protein level) (PubMed:25326458, PubMed:36213313, PubMed:37453717). Expressed in airway epithelium and submucosal gland (at protein level). Colocalizes with TNFAIP6 at the ciliary border. Present in bronchoalveolar lavage fluid (at protein level). {ECO:0000269|PubMed:16873769, ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:32337544, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}.	1BIK;3QKG;4ES7;4U30;6EJ7;6EJ8;6EJ9;6EJA;6EJB;6EJC;6EJD;	SUBCELLULAR LOCATION: [Alpha-1-microglobulin]: Secreted {ECO:0000269|PubMed:11877257, ECO:0000269|PubMed:32092412, ECO:0000269|PubMed:37453717}. Endoplasmic reticulum {ECO:0000269|PubMed:22096585}. Cytoplasm, cytosol {ECO:0000269|PubMed:32092412}. Cell membrane {ECO:0000269|PubMed:22096585, ECO:0000269|PubMed:32092412}; Peripheral membrane protein {ECO:0000305|PubMed:22096585, ECO:0000305|PubMed:32092412}. Nucleus membrane {ECO:0000269|PubMed:22096585}; Peripheral membrane protein {ECO:0000305|PubMed:22096585}. Mitochondrion inner membrane {ECO:0000305|PubMed:23157686}; Peripheral membrane protein {ECO:0000305|PubMed:23157686}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:22096585}. Note=The cellular uptake occurs via a non-endocytotic pathway and allows for localization to various membrane structures. A specific binding to plasma membrane suggests the presence of a cell receptor, yet to be identified. Directly binds collagen fibers type I. {ECO:0000269|PubMed:22096585}.; SUBCELLULAR LOCATION: [Inter-alpha-trypsin inhibitor light chain]: Secreted {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:36213313}.	
P03999	reviewed	OPSB_HUMAN	Short-wave-sensitive opsin 1 (Blue cone photoreceptor pigment) (Blue-sensitive opsin) (BOP)	OPN1SW BCP	Homo sapiens (Human)	345	TISSUE SPECIFICITY: The three color pigments are found in the cone photoreceptor cells (PubMed:2937147). Expressed throughout the epidermis and dermis, primarily in the stratum granulosum in the facial and abdominal skin (at protein level) (PubMed:30168605). Expressed in dermal fibroblasts (at protein level) (PubMed:31380578). Expressed in melanocytes (at protein level) (PubMed:31730232). {ECO:0000269|PubMed:2937147, ECO:0000269|PubMed:30168605, ECO:0000269|PubMed:31380578, ECO:0000269|PubMed:31730232}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2937147, ECO:0000269|PubMed:31380578, ECO:0000269|PubMed:31730232}; Multi-pass membrane protein {ECO:0000255}. Photoreceptor inner segment {ECO:0000250|UniProtKB:P51491}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:P51491}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:30168605}.	TRANSMEM 31..55; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 68..93; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 108..127; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 147..170; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 197..224; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 247..270; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 279..303; /note="Helical; Name=7"; /evidence="ECO:0000255"
P04035	reviewed	HMDH_HUMAN	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	HMGCR	Homo sapiens (Human)	888	TISSUE SPECIFICITY: [Isoform 1]: Ubiquitously expressed with the highest levels in the cerebellum, fetal brain, testis, skin and adrenal gland. {ECO:0000269|PubMed:22989091}.; TISSUE SPECIFICITY: [Isoform 2]: Detected in the cerebellum, fetal brain, testis and adrenal gland. {ECO:0000269|PubMed:22989091}.; TISSUE SPECIFICITY: [Isoform 3]: Low abundance except in skin, esophagus, and uterine cervix. {ECO:0000269|PubMed:22989091}.	1DQ8;1DQ9;1DQA;1HW8;1HW9;1HWI;1HWJ;1HWK;1HWL;2Q1L;2Q6B;2Q6C;2R4F;3BGL;3CCT;3CCW;3CCZ;3CD0;3CD5;3CD7;3CDA;3CDB;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17180682, ECO:0000305|PubMed:2991281}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P00347}. Peroxisome membrane {ECO:0000269|PubMed:17180682}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P00347}.	TRANSMEM 10..39; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"; TRANSMEM 57..78; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"; TRANSMEM 90..114; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"; TRANSMEM 124..149; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"; TRANSMEM 160..187; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"; TRANSMEM 192..220; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"; TRANSMEM 249..275; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"; TRANSMEM 315..339; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P00347"
P04264	reviewed	K2C1_HUMAN	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Homo sapiens (Human)	644	TISSUE SPECIFICITY: The source of this protein is neonatal foreskin. The 67-kDa type II keratins are expressed in terminally differentiating epidermis.	4ZRY;6E2J;6UUI;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17956333}. Cytoplasm {ECO:0000269|PubMed:32179842}.	
P05109	reviewed	S10A8_HUMAN	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	Homo sapiens (Human)	93	TISSUE SPECIFICITY: Calprotectin (S100A8/9) is predominantly expressed in myeloid cells. Except for inflammatory conditions, the expression is restricted to a specific stage of myeloid differentiation since both proteins are expressed in circulating neutrophils and monocytes but are absent in normal tissue macrophages and lymphocytes. Under chronic inflammatory conditions, such as psoriasis and malignant disorders, also expressed in the epidermis. Found in high concentrations at local sites of inflammation or in the serum of patients with inflammatory diseases such as rheumatoid, cystic fibrosis, inflammatory bowel disease, Crohn's disease, giant cell arteritis, cystic fibrosis, Sjogren's syndrome, systemic lupus erythematosus, and progressive systemic sclerosis. Involved in the formation and deposition of amyloids in the aging prostate known as corpora amylacea inclusions. Strongly up-regulated in many tumors, including gastric, esophageal, colon, pancreatic, bladder, ovarian, thyroid, breast and skin cancers. {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:33388094, ECO:0000269|PubMed:9083090}.	1MR8;1XK4;4GGF;4XJK;5HLO;5HLV;5W1F;6DS2;7QUV;8SJB;8SJC;	SUBCELLULAR LOCATION: Secreted. Cytoplasm. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway.	
P05154	reviewed	IPSP_HUMAN	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)	SERPINA5 PCI PLANH3 PROCI	Homo sapiens (Human)	406	TISSUE SPECIFICITY: Predominantly expressed in the epithelium of seminal vesicles. Expressed in the proximal tubular epithelium of the kidney. Expressed in the superficial and more differentiated epidermal keratinocytes of the skin. Expressed in megakaryocytes and platelets. Expressed poorly in kidney tumor cells compared to non tumor kidney tissues. Expressed in spermatozoa. Present in very high concentration in seminal plasma. Present in high concentration in plasma, synovial and Graaf follicle fluids. Present in low concentration in breast milk and in amniotic fluids. Present in very low concentration in urine, cerebrospinal fluids, saliva and tears (at protein level). Strongly expressed in liver. Expressed in kidney, spleen, pancreas, skeletal muscle, heart, testes, ovary, interstitial Leydig cells, epididymal glands, seminal vesicles and prostate. {ECO:0000269|PubMed:1372913, ECO:0000269|PubMed:14696115, ECO:0000269|PubMed:15140131, ECO:0000269|PubMed:17706750, ECO:0000269|PubMed:18467335, ECO:0000269|PubMed:9510955, ECO:0000269|PubMed:9556620}.	1LQ8;2HI9;2OL2;3DY0;	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:1725227, ECO:0000269|PubMed:18467335, ECO:0000269|PubMed:7521127, ECO:0000269|PubMed:8536714, ECO:0000269|PubMed:9510955, ECO:0000269|PubMed:9556620}. Note=Localized on the plasma membrane overlying the acrosomal head of spermatozoa of ependymal spermatozoa and ejaculated sperm. Localized at the equatorial segment of acrosome-reacted spermatozoa. Localized in alpha granules in resting platelets and on the external plasma membrane and within the surface-connected cannalicular system in activated platelets.	
P05538	reviewed	DQB2_HUMAN	HLA class II histocompatibility antigen, DQ beta 2 chain (HLA class II histocompatibility antigen, DX beta chain) (MHC class II antigen DQB2)	HLA-DQB2 HLA-DXB	Homo sapiens (Human)	268	TISSUE SPECIFICITY: Restricted to skin Langerhans cells (at protein level). {ECO:0000269|PubMed:22407913}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Endosome membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Lysosome membrane {ECO:0000269|PubMed:22407913}; Single-pass type I membrane protein {ECO:0000269|PubMed:22407913}. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.	TRANSMEM 230..250; /note="Helical"; /evidence="ECO:0000255"
P05556	reviewed	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)	798	TISSUE SPECIFICITY: Expressed in vascular smooth muscle cells (at protein level). {ECO:0000269|PubMed:35802072}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in placenta (at protein level) (PubMed:33962943). Widely expressed, other isoforms are generally coexpressed with a more restricted distribution (PubMed:1551917, PubMed:7545396, PubMed:7681433). {ECO:0000269|PubMed:1551917, ECO:0000269|PubMed:33962943, ECO:0000269|PubMed:7545396, ECO:0000269|PubMed:7681433}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in skin, liver, skeletal muscle, cardiac muscle, placenta, umbilical vein endothelial cells, neuroblastoma cells, lymphoma cells, hepatoma cells and astrocytoma cells. {ECO:0000269|PubMed:2249781}.; TISSUE SPECIFICITY: [Isoform 3]: Together with isoform 4, is expressed in muscle, kidney, liver, placenta, cervical epithelium, umbilical vein endothelial cells, fibroblast cells, embryonal kidney cells, platelets and several blood cell lines. Expressed in non-proliferating and differentiated prostate gland epithelial cells and in platelets, on the surface of erythroleukemia cells and in various hematopoietic cell lines. {ECO:0000269|PubMed:1551917, ECO:0000269|PubMed:9494094}.; TISSUE SPECIFICITY: [Isoform 4]: Together with isoform 3, is expressed in muscle, kidney, liver, placenta, cervical epithelium, umbilical vein endothelial cells, fibroblast cells, embryonal kidney cells, platelets and several blood cell lines. Rather than isoform 3, is selectively expressed in peripheral T-cells. {ECO:0000269|PubMed:9494094}.; TISSUE SPECIFICITY: [Isoform 5]: Expressed specifically in striated muscle (skeletal and cardiac muscle). {ECO:0000269|PubMed:7544298, ECO:0000269|PubMed:7545396}.	3G9W;3T9K;3VI3;3VI4;4DX9;4WJK;4WK0;4WK2;4WK4;7CEB;7CEC;7NWL;7NXD;8RPQ;9CKV;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:32487760, ECO:0000269|PubMed:35687021, ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:10455171, ECO:0000269|PubMed:11919189}; Single-pass type I membrane protein {ECO:0000255}. Recycling endosome {ECO:0000269|PubMed:16256741}. Melanosome {ECO:0000269|PubMed:17081065}. Cleavage furrow {ECO:0000269|PubMed:17956333}. Cell projection, lamellipodium {ECO:0000269|PubMed:11919189}. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:35687021}. Note=Highly enriched in stage I melanosomes. Located on plasma membrane of neuroblastoma NMB7 cells. In a lung cancer cell line, in prometaphase and metaphase, localizes diffusely at the membrane and in a few intracellular vesicles. In early telophase, detected mainly on the matrix-facing side of the cells. By mid-telophase, concentrated to the ingressing cleavage furrow, mainly to the basal side of the furrow. In late telophase, concentrated to the extending protrusions formed at the opposite ends of the spreading daughter cells, in vesicles at the base of the lamellipodia formed by the separating daughter cells. Colocalizes with ITGB1BP1 and metastatic suppressor protein NME2 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen. Translocates from peripheral focal adhesions sites to fibrillar adhesions in a ITGB1BP1-dependent manner. Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. {ECO:0000269|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 2]: Note=Does not localize to focal adhesions. {ECO:0000269|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P09055}. Cell junction {ECO:0000250|UniProtKB:P09055}. Note=In cardiac muscle, found in costameres and intercalated disks. {ECO:0000250|UniProtKB:P09055}.	TRANSMEM 729..751; /note="Helical"; /evidence="ECO:0000255"
