Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Subcellular location [CC]	Transmembrane
Q9UQC9	reviewed	CLCA2_HUMAN	Calcium-activated chloride channel regulator 2 (EC 3.4.-.-) (Calcium-activated chloride channel family member 2) (hCLCA2) (Calcium-activated chloride channel protein 3) (CaCC-3) (hCaCC-3) [Cleaved into: Calcium-activated chloride channel regulator 2, 109 kDa form; Calcium-activated chloride channel regulator 2, 35 kDa form]	CLCA2 CACC3	Homo sapiens (Human)	943	TISSUE SPECIFICITY: Expressed in cornea, skin, vagina, esophagus, and larynx (at protein level). Expressed in trachea and mammary gland. Weakly expressed in testis and kidney. Highly expressed in corneal epithelium, colon and trachea. Moderately expressed in brain, urogenital organs, bladder, uterus and prostate. Highly expressed in tissues containing stratified epithelium including cornea, esophagus, larynx, skin and vagina than those tissues which contain only epithelial monolayers. Expressed in normal breast epithelium but not in breast cancer. Highly expressed during epithelial stratification. Expressed in endothelial cells of lung. Expressed selectively in endothelia of small pulmonary arteries, arterioles, and subpleural and interlobular venules. {ECO:0000269|PubMed:10362588, ECO:0000269|PubMed:10437792, ECO:0000269|PubMed:10554024, ECO:0000269|PubMed:11262615, ECO:0000269|PubMed:11320086, ECO:0000269|PubMed:14966209, ECO:0000269|PubMed:15707651, ECO:0000269|PubMed:16158324}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Basal cell membrane; Single-pass type I membrane protein. Cell junction.; SUBCELLULAR LOCATION: [Calcium-activated chloride channel regulator 2, 109 kDa form]: Secreted. Note=Remains associated to the 35 kDa form until an unidentified event triggers the release.	"TRANSMEM 902..922; /note=""Helical""; /evidence=""ECO:0000255"""
Q9Y337	reviewed	KLK5_HUMAN	Kallikrein-5 (EC 3.4.21.-) (Kallikrein-like protein 2) (KLK-L2) (Stratum corneum tryptic enzyme)	KLK5 SCTE UNQ570/PRO1132	Homo sapiens (Human)	293	TISSUE SPECIFICITY: Expressed in skin, breast, brain and testis. Expressed at the stratum granulosum of palmar skin. {ECO:0000269|PubMed:19190773}.	SUBCELLULAR LOCATION: Secreted.	
Q9Y4X3	reviewed	CCL27_HUMAN	C-C motif chemokine 27 (CC chemokine ILC) (Cutaneous T-cell-attracting chemokine) (CTACK) (ESkine) (IL-11 R-alpha-locus chemokine) (Skinkine) (Small-inducible cytokine A27)	CCL27 ILC SCYA27	Homo sapiens (Human)	112	TISSUE SPECIFICITY: Testis, thymus, placenta, ovary and skin.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9Z1X0}.	
Q9Y646	reviewed	CBPQ_HUMAN	Carboxypeptidase Q (EC 3.4.17.-) (Lysosomal dipeptidase) (Plasma glutamate carboxypeptidase)	CPQ LCH1 PGCP	Homo sapiens (Human)	472	TISSUE SPECIFICITY: Mainly detected in blood plasma. Abundant in placenta and kidney. Present at low level in muscles, liver and skin fibroblasts. Not detected in brain or white blood cells (at protein level). {ECO:0000269|PubMed:10206990}.	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:10206990}. Golgi apparatus {ECO:0000269|PubMed:10206990}. Lysosome {ECO:0000250}. Secreted {ECO:0000269|PubMed:10206990}. Note=Secretion is stimulated by TSH/thyroid-stimulating hormone, INS/insulin and SST/somatostatin. {ECO:0000250}.	
Q9Y6N6	reviewed	LAMC3_HUMAN	Laminin subunit gamma-3 (Laminin-12 subunit gamma) (Laminin-14 subunit gamma) (Laminin-15 subunit gamma)	LAMC3	Homo sapiens (Human)	1575	TISSUE SPECIFICITY: Broadly expressed in: skin, heart, lung, and the reproductive tracts.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	
Q07507	reviewed	DERM_HUMAN	Dermatopontin (Tyrosine-rich acidic matrix protein) (TRAMP)	DPT	Homo sapiens (Human)	201	TISSUE SPECIFICITY: Expressed in fibroblasts, heart, skeletal muscle, brain and pancreas. Expressed at an intermediate level in lung and kidney, and at a low level in liver and placenta. Expressed at a lower level in fibroblasts from hypertrophic scar lesional skin and in fibroblasts from patients with systemic sclerosis than in normal skin fibroblasts. {ECO:0000269|PubMed:10233760, ECO:0000269|PubMed:8104875}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	
Q5DT21	reviewed	ISK9_HUMAN	Serine protease inhibitor Kazal-type 9 (Lymphoepithelial Kazal-type-related inhibitor 2)	SPINK9 LEKTI2	Homo sapiens (Human)	86	TISSUE SPECIFICITY: Skin. Highly expressed at sites of hyperkeratosis. Also detected in thymus, tonsils, testis, pancreas, liver, placenta and brain. Expressed at stratum granulosum and stratum corneum at palmar and plantar sites (at protein level). {ECO:0000269|PubMed:19190773, ECO:0000269|PubMed:19194479}.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q5VXJ0	reviewed	LIPK_HUMAN	Lipase member K (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 2)	LIPK LIPL2	Homo sapiens (Human)	399	TISSUE SPECIFICITY: Exclusively expressed in the epidermis within the granular keratinocytes. {ECO:0000269|PubMed:17562024}.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q5VYY2	reviewed	LIPM_HUMAN	Lipase member M (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 3)	LIPM LIPL3	Homo sapiens (Human)	423	TISSUE SPECIFICITY: Exclusively expressed in the epidermis within the granular keratinocytes. {ECO:0000269|PubMed:17562024}.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q6UXA7	reviewed	CF015_HUMAN	Uncharacterized protein C6orf15 (Protein STG)	C6orf15 STG UNQ1840/PRO3566	Homo sapiens (Human)	325	TISSUE SPECIFICITY: Expressed in skin and tonsils. {ECO:0000269|PubMed:15217361}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	
Q6XPR3	reviewed	RPTN_HUMAN	Repetin	RPTN	Homo sapiens (Human)	784	TISSUE SPECIFICITY: Expression is scattered in the normal epidermis but strong in the acrosyringium, the inner hair root sheath and in the filiform papilli of the tongue. {ECO:0000269|PubMed:15854042}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	
Q8NFW1	reviewed	COMA1_HUMAN	Collagen alpha-1(XXII) chain	COL22A1	Homo sapiens (Human)	1626	TISSUE SPECIFICITY: Restrictive expression is observed at tissue junctions such as the myotendinous junction in skeletal and heart muscle, the articular cartilage-synovial fluid junction, or the border between the anagen hair follicle and the dermis in the skin. It is deposited in the basement membrane zone of the myotendinous junction and the hair follicle and associated with the extrafibrillar matrix in cartilage. {ECO:0000269|PubMed:15016833}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix. Cytoplasm {ECO:0000250}.	
Q8WWY7	reviewed	WFD12_HUMAN	WAP four-disulfide core domain protein 12 (Putative protease inhibitor WAP12) (Whey acidic protein 2)	WFDC12 C20orf122 WAP2 UNQ544/PRO844	Homo sapiens (Human)	111	TISSUE SPECIFICITY: Highly expressed in prostate, skin, lung and esophagus. Weakly expressed in skeletal muscle, epididymis, kidney, trachea, salivary gland, testis and seminal vesicle.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q9BQQ7	reviewed	RTP3_HUMAN	Receptor-transporting protein 3 (3CxxC-type zinc finger protein 3) (Transmembrane protein 7)	RTP3 TMEM7 Z3CXXC3	Homo sapiens (Human)	232	TISSUE SPECIFICITY: Expressed predominantly in adult liver (PubMed:11896456, PubMed:17693185). Expressed in testis (PubMed:16720576, PubMed:17693185). Also expressed in kidney, lung and fetal liver (PubMed:17693185). Low levels in heart, thyroid, adrenal gland, pancreas, ovary, prostate, skin, plasma leukocytes, bone marrow and fetal brain (PubMed:17693185). Not detected in brain, spleen, colon, small intestine, skeletal muscle, stomach, placenta, salivary gland and uterus (PubMed:17693185). {ECO:0000269|PubMed:11896456, ECO:0000269|PubMed:16720576, ECO:0000269|PubMed:17693185}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type III membrane protein {ECO:0000305}.	"TRANSMEM 212..232; /note=""Helical""; /evidence=""ECO:0000255"""
P58511	reviewed	SIM11_HUMAN	Small integral membrane protein 11	SMIM11 C21orf51 FAM165B SMIM11A	Homo sapiens (Human)	58	TISSUE SPECIFICITY: Expressed in heart, spleen, liver, stomach, muscle, lung, testis, skin, PBL and bone marrow.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	"TRANSMEM 10..32; /note=""Helical""; /evidence=""ECO:0000255"""
P60985	reviewed	KTDAP_HUMAN	Keratinocyte differentiation-associated protein	KRTDAP KDAP UNQ467/PRO826	Homo sapiens (Human)	99	TISSUE SPECIFICITY: Highly expressed in skin and detected at lower levels in thymus. In skin, found exclusively in lamellar granules of granular keratinocytes and in the intracellular space of the stratum corneum. Also highly expressed in oral mucosa, tongue, esophagus, and stomach, and at much lower levels in bladder and uterus. Not detected in gastrointestinal mucosa. {ECO:0000269|PubMed:15140226}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15140226}.	
Q53RY4	reviewed	KCP3_HUMAN	Keratinocyte-associated protein 3 (KCP-3)	KRTCAP3 KCP3 UNQ3066/PRO9898	Homo sapiens (Human)	240	TISSUE SPECIFICITY: Expressed in skin, pancreas and keratinocytes. {ECO:0000269|PubMed:12752121}.	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	"TRANSMEM 21..41; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 63..83; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 94..114; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 163..183; /note=""Helical""; /evidence=""ECO:0000255"""
Q8IX94	reviewed	CTGE4_HUMAN	cTAGE family member 4 (Protein cTAGE-4)	CTAGE4	Homo sapiens (Human)	777	TISSUE SPECIFICITY: Expressed in testis, placenta and skin. Expressed at lower level in mammary gland and stomach. {ECO:0000269|PubMed:12839582}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	"TRANSMEM 39..59; /note=""Helical""; /evidence=""ECO:0000255"""
Q8NFQ6	reviewed	BPIFC_HUMAN	BPI fold-containing family C protein (Bactericidal/permeability-increasing protein-like 2) (BPI-like 2)	BPIFC BPIL2	Homo sapiens (Human)	507	TISSUE SPECIFICITY: Detected in the basal layer of the epidermis from inflammatory skin from psoriasis patients, but not in normal skin.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P17213}.	
Q9UKQ9	reviewed	KLK9_HUMAN	Kallikrein-9 (EC 3.4.21.-) (Kallikrein-like protein 3) (KLK-L3)	KLK9	Homo sapiens (Human)	250	TISSUE SPECIFICITY: Skin, thymus, trachea, cerebellum and spinal cord.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
